i,timestamp,prev_timestamp,delta,difficulty,boundary
290,1515669745,1515669583,162,4004,28919103206122925929962783468703273689627868298112028980883512489488793616
291,1515669754,1515669745,9,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
292,1515669754,1515669754,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
293,1515669755,1515669754,1,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
294,1515669756,1515669755,1,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
295,1515669757,1515669756,1,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
296,1515669758,1515669757,1,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
297,1515669759,1515669758,1,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
298,1515669764,1515669759,5,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
299,1515669765,1515669764,1,56,2067715879237789203992339018012284068808392583315010072133171142998448743570
300,1515669767,1515669765,2,91,1272440541069408740918362472622944042343626205116929275158874549537506919120
301,1515669775,1515669767,8,147,787701287328681601520891054480870121450816222215241932241208054475599521360
302,1515669778,1515669775,3,229,505642311079983386129130938902567283202052334784456611526015650689576985327
303,1515669783,1515669778,5,372,311269057089559665117126303786795451218467700714087537740477376365357875376
304,1515669854,1515669783,71,604,191708757015424164608561233458092562670976795804040668939499311271379353708
305,1515669864,1515669854,10,567,204218852270398933727638421532077438894656057611359019469942828938118394426
306,1515669904,1515669864,40,885,130838518912221689744148005659534359156237270808633405694302354811201276429
307,1515669939,1515669904,35,1106,104694474898115909062903241418343497154855320674177725171299804708782214864
308,1515669964,1515669939,25,1451,79801577696289590229890410068013720091846991499407694031328452107452191343
309,1515670084,1515669964,120,1995,58041147487376539059434077698590430001639090057965195007246909277149438416
310,1515670094,1515670084,10,749,154595579756096389083539365832694135985674211836636267075377281719510186435
311,1515670103,1515670094,9,1170,98967597638731790960317081204006758848948704842427832512356909408472760376
312,1515670113,1515670103,10,1828,63343593674680632069787190923789883945990144784267266980009619260346351006
313,1515670185,1515670113,72,2856,40543448612505670666516451333574197427615540849313922983003355745067622422
314,1515670194,1515670185,9,2499,46335369842863623618875944381227654202989189542073054837718120851505854197
315,1515670252,1515670194,58,3904,29659858923492877926119617061651615741103991973780882182238110657764633616
316,1515670325,1515670252,73,4148,27915161339758002753994933705083873638686110092970242053871162972013772815
317,1515670354,1515670325,29,3630,31898647172814378904565009644266641281892557759129631966792722867193699625
318,1515670414,1515670354,60,4991,23200178168165937772705066120754940463488275829621431384383406934063941021
319,1515670483,1515670414,69,4991,23200178168165937772705066120754940463488275829621431384383406934063941021
320,1515670865,1515670483,382,4680,24741899409682947740079270301001689712237176210606958128089227352118190094
321,1515670865,1515670865,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
322,1515670865,1515670865,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
323,1515670866,1515670865,1,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
324,1515670866,1515670866,0,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
